id,name,category,serving_size,calories,protein,carbs,fat,fiber,sugar,sodium,type,goals,allergens,description
31,Idiyappam,Indian Breakfast,1 plate (200 g),196,6.0,25.7,5.5,3.8,4.3,132,Vegetarian,General Fitness,None,"Idiyappam – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
32,Bajra Roti with Curd,Indian Breakfast,1 plate (200 g),261,7.3,49.5,7.5,1.5,2.4,183,Vegetarian,General Fitness,Milk; Gluten,"Bajra Roti with Curd – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
33,Methi Thepla,Indian Breakfast,1 plate (200 g),140,3.9,35.2,3.6,2.1,1.3,210,Vegetarian,Weight Loss,None,"Methi Thepla – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
34,Banana Pancake (Indian Style),Indian Breakfast,1 plate (200 g),292,9.9,42.1,9.2,1.5,2.5,274,Vegetarian,General Fitness,Gluten,"Banana Pancake (Indian Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
35,Daliya (Broken Wheat Porridge),Indian Breakfast,1 plate (200 g),122,4.8,27.7,8.1,3.3,1.8,202,Vegetarian,General Fitness,Gluten,"Daliya (Broken Wheat Porridge) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
36,Oats Upma,Indian Breakfast,1 plate (200 g),295,6.0,56.9,8.5,1.8,2.9,231,Vegetarian,General Fitness,None,"Oats Upma – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
37,Sprouts Chaat Breakfast Bowl,Indian Breakfast,1 plate (200 g),138,6.8,26.7,8.6,1.3,2.4,232,Vegetarian,General Fitness,None,"Sprouts Chaat Breakfast Bowl – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
38,Curd Rice (Breakfast Style),Indian Breakfast,1 plate (200 g),179,6.4,49.9,13.6,2.1,4.4,259,Vegetarian,General Fitness,Milk,"Curd Rice (Breakfast Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
39,Stuffed Kulcha,Indian Breakfast,1 plate (200 g),152,3.6,39.9,7.1,3.9,1.8,164,Vegetarian,Weight Loss,None,"Stuffed Kulcha – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
40,Dabeli,Indian Breakfast,1 plate (200 g),161,8.6,46.1,7.8,1.3,4.9,354,Vegetarian,Weight Loss,None,"Dabeli – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
41,Khichdi (Moong Dal),Indian Breakfast,1 plate (200 g),248,5.0,20.8,2.0,4.2,1.6,244,Vegetarian,General Fitness,None,"Khichdi (Moong Dal) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
42,Murukku with Filter Coffee,Indian Breakfast,1 plate (200 g),172,4.7,46.1,3.6,3.0,1.8,359,Vegetarian,Weight Loss,None,"Murukku with Filter Coffee – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
43,Chivda Bowl,Indian Breakfast,1 plate (200 g),246,3.3,18.6,3.4,4.0,5.6,105,Vegetarian,General Fitness,None,"Chivda Bowl – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
44,Rava Uttapam,Indian Breakfast,1 plate (200 g),225,6.3,57.2,8.0,2.6,3.8,170,Vegetarian,General Fitness,None,"Rava Uttapam – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
45,Onion Uttapam,Indian Breakfast,1 plate (200 g),209,3.4,18.8,4.7,2.2,1.2,150,Vegetarian,General Fitness,None,"Onion Uttapam – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
46,Tomato Uttapam,Indian Breakfast,1 plate (200 g),317,5.9,29.3,3.2,1.4,4.2,309,Vegetarian,General Fitness,None,"Tomato Uttapam – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
47,Egg Paratha,Indian Breakfast,1 plate (200 g),259,5.3,30.4,10.3,3.5,4.0,204,Non-Vegetarian,General Fitness,Egg; Gluten,"Egg Paratha – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
48,Cheese Sandwich (Home Style),Indian Breakfast,1 plate (200 g),233,8.6,28.7,6.2,1.3,3.4,288,Vegetarian,General Fitness,Milk,"Cheese Sandwich (Home Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
49,Vegetable Sandwich,Indian Breakfast,1 plate (200 g),160,6.8,19.2,9.7,2.3,3.4,208,Vegetarian,General Fitness,None,"Vegetable Sandwich – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
50,Paneer Paratha,Indian Breakfast,1 plate (200 g),174,6.4,38.6,4.2,2.0,4.0,209,Vegetarian,Weight Loss,Milk; Gluten,"Paneer Paratha – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
51,Suji Cheela,Indian Breakfast,1 plate (200 g),213,4.5,29.6,6.4,2.2,4.3,245,Vegetarian,General Fitness,None,"Suji Cheela – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
52,Poha (Restaurant Style),Indian Breakfast,1 plate (200 g),312,4.1,42.2,10.4,1.6,1.8,308,Vegetarian,General Fitness,None,"Poha (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
53,Upma (Restaurant Style),Indian Breakfast,1 plate (200 g),248,7.1,23.8,9.4,2.0,3.0,287,Vegetarian,General Fitness,None,"Upma (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
54,Idli (Restaurant Style),Indian Breakfast,1 plate (200 g),178,6.0,45.8,4.6,2.3,1.5,395,Vegetarian,Weight Loss,None,"Idli (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
55,Dosa (Restaurant Style),Indian Breakfast,1 plate (200 g),134,4.3,22.2,10.7,1.2,4.8,222,Vegetarian,General Fitness,None,"Dosa (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
56,Medu Vada (Restaurant Style),Indian Breakfast,1 plate (200 g),238,9.7,37.5,9.3,1.6,2.1,306,Vegetarian,General Fitness,None,"Medu Vada (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
57,Paratha (Aloo) (Restaurant Style),Indian Breakfast,1 plate (200 g),180,7.0,35.4,8.9,2.6,5.0,206,Vegetarian,General Fitness,Gluten,"Paratha (Aloo) (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
58,Paratha (Plain) (Restaurant Style),Indian Breakfast,1 plate (200 g),239,9.4,53.3,11.1,1.1,3.8,349,Vegetarian,General Fitness,Gluten,"Paratha (Plain) (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
59,Besan Chilla (Restaurant Style),Indian Breakfast,1 plate (200 g),183,8.2,23.9,8.2,3.8,4.7,204,Vegetarian,General Fitness,None,"Besan Chilla (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
60,Sevai (Restaurant Style),Indian Breakfast,1 plate (200 g),185,9.4,43.1,7.9,3.2,4.7,292,Vegetarian,General Fitness,None,"Sevai (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
61,Sabudana Khichdi (Restaurant Style),Indian Breakfast,1 plate (200 g),221,7.6,35.7,4.8,2.5,3.8,242,Vegetarian,General Fitness,None,"Sabudana Khichdi (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
62,Moong Dal Cheela (Restaurant Style),Indian Breakfast,1 plate (200 g),248,10.5,56.0,12.2,2.7,4.6,275,Vegetarian,General Fitness,None,"Moong Dal Cheela (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
63,Rava Idli (Restaurant Style),Indian Breakfast,1 plate (200 g),198,8.9,35.0,10.7,3.2,1.3,225,Vegetarian,General Fitness,None,"Rava Idli (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
64,Set Dosa (Restaurant Style),Indian Breakfast,1 plate (200 g),303,7.0,52.8,3.7,2.0,5.0,413,Vegetarian,General Fitness,None,"Set Dosa (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
65,Appam (Restaurant Style),Indian Breakfast,1 plate (200 g),240,7.9,42.0,5.1,2.4,4.4,317,Vegetarian,General Fitness,None,"Appam (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
66,Puttu (Restaurant Style),Indian Breakfast,1 plate (200 g),281,9.0,33.3,11.9,2.6,3.1,412,Vegetarian,General Fitness,None,"Puttu (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
67,Thepla (Restaurant Style),Indian Breakfast,1 plate (200 g),221,8.8,25.6,10.8,1.7,3.5,102,Vegetarian,General Fitness,None,"Thepla (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
68,Dhokla (Restaurant Style),Indian Breakfast,1 plate (200 g),295,9.2,33.5,6.5,3.3,3.5,276,Vegetarian,General Fitness,None,"Dhokla (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
69,Khaman (Restaurant Style),Indian Breakfast,1 plate (200 g),240,9.0,38.2,5.2,1.6,4.9,316,Vegetarian,General Fitness,None,"Khaman (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
70,Misal Pav (Restaurant Style),Indian Breakfast,1 plate (200 g),249,7.0,41.1,13.3,2.5,4.0,279,Vegetarian,General Fitness,None,"Misal Pav (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
71,Sheera (Restaurant Style),Indian Breakfast,1 plate (200 g),242,8.3,23.4,5.8,4.1,4.2,187,Vegetarian,General Fitness,None,"Sheera (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
72,Vermicelli Upma (Restaurant Style),Indian Breakfast,1 plate (200 g),236,9.7,48.2,10.0,2.0,1.8,230,Vegetarian,General Fitness,None,"Vermicelli Upma (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
73,Bread Omelette (Restaurant Style),Indian Breakfast,1 plate (200 g),144,3.1,39.2,4.9,3.5,4.5,150,Vegetarian,Weight Loss,Egg; Gluten,"Bread Omelette (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
74,Stuffed Paratha (Gobi) (Restaurant Style),Indian Breakfast,1 plate (200 g),272,5.7,38.4,11.7,3.0,2.5,292,Vegetarian,General Fitness,Gluten,"Stuffed Paratha (Gobi) (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
75,Masala Dosa (Restaurant Style),Indian Breakfast,1 plate (200 g),250,6.0,20.8,9.9,3.9,2.1,222,Vegetarian,General Fitness,None,"Masala Dosa (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
76,Rava Dosa (Restaurant Style),Indian Breakfast,1 plate (200 g),201,5.9,37.4,12.9,3.1,3.9,231,Vegetarian,General Fitness,None,"Rava Dosa (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
77,Akki Roti (Restaurant Style),Indian Breakfast,1 plate (200 g),124,6.6,30.3,7.5,2.0,5.9,256,Vegetarian,Weight Loss,Gluten,"Akki Roti (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
78,Pesarattu (Restaurant Style),Indian Breakfast,1 plate (200 g),293,7.0,56.2,5.7,2.3,4.0,276,Vegetarian,General Fitness,None,"Pesarattu (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
79,Egg Bhurji on Toast (Restaurant Style),Indian Breakfast,1 plate (200 g),226,3.8,41.0,7.9,2.9,3.3,109,Non-Vegetarian,General Fitness,Egg,"Egg Bhurji on Toast (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
80,Aloo Puri (Restaurant Style),Indian Breakfast,1 plate (200 g),312,6.8,51.8,8.7,2.5,3.0,280,Vegetarian,General Fitness,None,"Aloo Puri (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
81,Chana Puri (Restaurant Style),Indian Breakfast,1 plate (200 g),220,4.1,24.7,5.1,2.9,4.3,215,Vegetarian,General Fitness,None,"Chana Puri (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
82,Idiyappam (Restaurant Style),Indian Breakfast,1 plate (200 g),301,5.3,46.1,4.6,1.7,1.4,164,Vegetarian,General Fitness,None,"Idiyappam (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
83,Bajra Roti with Curd (Restaurant Style),Indian Breakfast,1 plate (200 g),218,8.6,24.2,4.0,4.4,3.8,271,Vegetarian,General Fitness,Milk; Gluten,"Bajra Roti with Curd (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
84,Methi Thepla (Restaurant Style),Indian Breakfast,1 plate (200 g),162,10.6,28.4,7.4,3.0,3.8,209,Vegetarian,Weight Loss,None,"Methi Thepla (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
85,Banana Pancake (Indian Style) (Restaurant Style),Indian Breakfast,1 plate (200 g),202,5.8,33.7,4.8,1.6,3.8,153,Vegetarian,General Fitness,Gluten,"Banana Pancake (Indian Style) (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
86,Daliya (Broken Wheat Porridge) (Restaurant Style),Indian Breakfast,1 plate (200 g),243,6.9,55.2,10.7,2.5,2.4,360,Vegetarian,General Fitness,Gluten,"Daliya (Broken Wheat Porridge) (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
87,Oats Upma (Restaurant Style),Indian Breakfast,1 plate (200 g),234,8.0,34.4,6.3,1.2,5.8,137,Vegetarian,General Fitness,None,"Oats Upma (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
88,Sprouts Chaat Breakfast Bowl (Restaurant Style),Indian Breakfast,1 plate (200 g),288,10.3,54.0,4.1,1.1,1.2,151,Vegetarian,General Fitness,None,"Sprouts Chaat Breakfast Bowl (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
89,Curd Rice (Breakfast Style) (Restaurant Style),Indian Breakfast,1 plate (200 g),144,6.6,19.2,2.3,2.5,3.4,224,Vegetarian,Weight Loss,Milk,"Curd Rice (Breakfast Style) (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
90,Stuffed Kulcha (Restaurant Style),Indian Breakfast,1 plate (200 g),213,6.6,47.0,11.9,1.4,4.1,155,Vegetarian,General Fitness,None,"Stuffed Kulcha (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
91,Dabeli (Restaurant Style),Indian Breakfast,1 plate (200 g),254,7.3,32.8,3.3,1.9,1.4,113,Vegetarian,General Fitness,None,"Dabeli (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
92,Khichdi (Moong Dal) (Restaurant Style),Indian Breakfast,1 plate (200 g),272,7.4,50.5,11.1,2.2,3.7,339,Vegetarian,General Fitness,None,"Khichdi (Moong Dal) (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
93,Murukku with Filter Coffee (Restaurant Style),Indian Breakfast,1 plate (200 g),225,7.5,29.5,3.0,3.3,4.2,113,Vegetarian,General Fitness,None,"Murukku with Filter Coffee (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
94,Chivda Bowl (Restaurant Style),Indian Breakfast,1 plate (200 g),254,5.3,43.2,5.4,1.3,2.7,377,Vegetarian,General Fitness,None,"Chivda Bowl (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
95,Rava Uttapam (Restaurant Style),Indian Breakfast,1 plate (200 g),234,4.3,24.1,6.2,2.3,1.6,101,Vegetarian,General Fitness,None,"Rava Uttapam (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
96,Onion Uttapam (Restaurant Style),Indian Breakfast,1 plate (200 g),252,7.4,49.0,8.4,2.3,2.7,188,Vegetarian,General Fitness,None,"Onion Uttapam (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
97,Tomato Uttapam (Restaurant Style),Indian Breakfast,1 plate (200 g),209,6.4,25.8,2.7,2.5,2.6,213,Vegetarian,General Fitness,None,"Tomato Uttapam (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
98,Egg Paratha (Restaurant Style),Indian Breakfast,1 plate (200 g),224,10.7,52.2,8.8,1.1,2.4,187,Non-Vegetarian,General Fitness,Egg; Gluten,"Egg Paratha (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
99,Cheese Sandwich (Home Style) (Restaurant Style),Indian Breakfast,1 plate (200 g),164,7.5,21.1,9.9,4.2,1.4,269,Vegetarian,General Fitness,Milk,"Cheese Sandwich (Home Style) (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
100,Vegetable Sandwich (Restaurant Style),Indian Breakfast,1 plate (200 g),225,10.1,28.2,13.9,1.8,4.5,232,Vegetarian,General Fitness,None,"Vegetable Sandwich (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
101,Paneer Paratha (Restaurant Style),Indian Breakfast,1 plate (200 g),192,5.9,18.2,9.6,1.5,5.1,146,Vegetarian,General Fitness,Milk; Gluten,"Paneer Paratha (Restaurant Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
102,Suji Cheela (Restaurant Style),Indian Breakfast,1 plate (200 g),204,5.9,28.6,5.7,1.7,2.3,182,Vegetarian,General Fitness,None,"Suji Cheela (Restaurant Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
103,Poha (Home Style),Indian Breakfast,1 plate (200 g),201,5.3,36.8,3.8,4.4,5.1,232,Vegetarian,General Fitness,None,"Poha (Home Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
104,Upma (Home Style),Indian Breakfast,1 plate (200 g),217,9.1,54.6,7.5,1.5,2.7,243,Vegetarian,General Fitness,None,"Upma (Home Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
105,Idli (Home Style),Indian Breakfast,1 plate (200 g),250,8.5,30.6,7.0,3.1,3.9,227,Vegetarian,General Fitness,None,"Idli (Home Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
106,Dosa (Home Style),Indian Breakfast,1 plate (200 g),279,6.4,41.1,3.6,1.4,1.2,235,Vegetarian,General Fitness,None,"Dosa (Home Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
107,Medu Vada (Home Style),Indian Breakfast,1 plate (200 g),256,3.8,25.9,7.6,1.3,5.8,123,Vegetarian,General Fitness,None,"Medu Vada (Home Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
108,Paratha (Aloo) (Home Style),Indian Breakfast,1 plate (200 g),318,10.9,44.2,10.4,3.3,1.8,411,Vegetarian,General Fitness,Gluten,"Paratha (Aloo) (Home Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
109,Paratha (Plain) (Home Style),Indian Breakfast,1 plate (200 g),124,5.6,33.8,5.9,3.0,2.7,276,Vegetarian,Weight Loss,Gluten,"Paratha (Plain) (Home Style) – A traditional Indian breakfast preparation made with grains/flour, lightly spiced and cooked with everyday ingredients."
110,Besan Chilla (Home Style),Indian Breakfast,1 plate (200 g),164,10.9,30.9,10.0,2.7,1.3,171,Vegetarian,General Fitness,None,"Besan Chilla (Home Style) – A wholesome rice-based dish combining grains with vegetables or spices, commonly served as a main meal."
